done,model,encoder,axis,epochs,batch
yes,fpn,resnet18,012,100,16
yes,fpn,resnet34,012,100,8
yes,fpn,se_resnet50,012,100,4
yes,fpn,resnext50_32x4d,012,100,4
yes,fpn,densenet121,012,100,4
yes,fpn,densenet169,012,100,4
yes,fpn,efficientnet-b0,012,100,2
yes,fpn,efficientnet-b1,012,100,2
yes,fpn,mobilenet_v2,012,100,4
yes,unet,resnet18,012,100,16
yes,unet,resnet34,012,100,8
yes,unet,se_resnet50,012,100,4
yes,unet,resnext50_32x4d,012,100,4
yes,unet,densenet121,012,100,4
yes,unet,densenet169,012,100,4
yes,unet,efficientnet-b0,012,100,2
yes,unet,efficientnet-b1,012,100,2
yes,unet,mobilenet_v2,012,100,4
